id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
1,1100,ACEH,7933.73,RIBU RUPIAH,2010
2,1200,SUMATERA UTARA,9195.67,RIBU RUPIAH,2010
3,1300,SUMATERA BARAT,9339.12,RIBU RUPIAH,2010
4,1400,RIAU,9857.36,RIBU RUPIAH,2010
5,1500,JAMBI,8478.45,RIBU RUPIAH,2010
6,1600,SUMATERA SELATAN,8536.2,RIBU RUPIAH,2010
7,1700,BENGKULU,8458.71,RIBU RUPIAH,2010
8,1800,LAMPUNG,7963.76,RIBU RUPIAH,2010
9,1900,KEP. BANGKA BELITUNG,10706.79,RIBU RUPIAH,2010
10,2100,KEPULAUAN RIAU,12266.62,RIBU RUPIAH,2010
11,3100,DKI JAKARTA,15110.77,RIBU RUPIAH,2010
12,3200,JAWA BARAT,9173.8,RIBU RUPIAH,2010
13,3300,JAWA TENGAH,8991.96,RIBU RUPIAH,2010
14,3400,D I YOGYAKARTA,12080.21,RIBU RUPIAH,2010
15,3500,JAWA TIMUR,9002.02,RIBU RUPIAH,2010
16,3600,BANTEN,10776.83,RIBU RUPIAH,2010
17,5100,BALI,12073.51,RIBU RUPIAH,2010
18,5200,NUSA TENGGARA BARAT,8707.04,RIBU RUPIAH,2010
19,5300,NUSA TENGGARA TIMUR,6615.07,RIBU RUPIAH,2010
20,6100,KALIMANTAN BARAT,7654.5,RIBU RUPIAH,2010
21,6200,KALIMANTAN TENGAH,9257.46,RIBU RUPIAH,2010
22,6300,KALIMANTAN SELATAN,10304.14,RIBU RUPIAH,2010
23,6400,KALIMANTAN TIMUR,10789.84,RIBU RUPIAH,2010
24,6500,KALIMANTAN UTARA,0.0,RIBU RUPIAH,2010
25,7100,SULAWESI UTARA,8934.98,RIBU RUPIAH,2010
26,7200,SULAWESI TENGAH,7987.73,RIBU RUPIAH,2010
27,7300,SULAWESI SELATAN,9330.62,RIBU RUPIAH,2010
28,7400,SULAWESI TENGGARA,8125.89,RIBU RUPIAH,2010
29,7500,GORONTALO,8206.69,RIBU RUPIAH,2010
30,7600,SULAWESI BARAT,8003.09,RIBU RUPIAH,2010
31,8100,MALUKU,7361.81,RIBU RUPIAH,2010
32,8200,MALUKU UTARA,6812.83,RIBU RUPIAH,2010
33,9100,PAPUA BARAT,6676.79,RIBU RUPIAH,2010
34,9400,PAPUA,6250.52,RIBU RUPIAH,2010
35,1100,ACEH,8043.67,RIBU RUPIAH,2011
36,1200,SUMATERA UTARA,9230.75,RIBU RUPIAH,2011
37,1300,SUMATERA BARAT,9408.74,RIBU RUPIAH,2011
38,1400,RIAU,9957.09,RIBU RUPIAH,2011
39,1500,JAMBI,8664.05,RIBU RUPIAH,2011
40,1600,SUMATERA SELATAN,8803.25,RIBU RUPIAH,2011
41,1700,BENGKULU,8571.97,RIBU RUPIAH,2011
42,1800,LAMPUNG,8118.29,RIBU RUPIAH,2011
43,1900,KEP. BANGKA BELITUNG,10807.99,RIBU RUPIAH,2011
44,2100,KEPULAUAN RIAU,12512.97,RIBU RUPIAH,2011
45,3100,DKI JAKARTA,15943.43,RIBU RUPIAH,2011
46,3200,JAWA BARAT,9249.02,RIBU RUPIAH,2011
47,3300,JAWA TENGAH,9296.37,RIBU RUPIAH,2011
48,3400,D I YOGYAKARTA,12114.52,RIBU RUPIAH,2011
49,3500,JAWA TIMUR,9396.2,RIBU RUPIAH,2011
50,3600,BANTEN,10932.84,RIBU RUPIAH,2011
51,5100,BALI,12306.77,RIBU RUPIAH,2011
52,5200,NUSA TENGGARA BARAT,8758.76,RIBU RUPIAH,2011
53,5300,NUSA TENGGARA TIMUR,6677.62,RIBU RUPIAH,2011
54,6100,KALIMANTAN BARAT,7825.22,RIBU RUPIAH,2011
55,6200,KALIMANTAN TENGAH,9471.94,RIBU RUPIAH,2011
56,6300,KALIMANTAN SELATAN,10436.8,RIBU RUPIAH,2011
57,6400,KALIMANTAN TIMUR,10926.8,RIBU RUPIAH,2011
58,6500,KALIMANTAN UTARA,0.0,RIBU RUPIAH,2011
59,7100,SULAWESI UTARA,9113.0,RIBU RUPIAH,2011
60,7200,SULAWESI TENGAH,8077.37,RIBU RUPIAH,2011
61,7300,SULAWESI SELATAN,9459.45,RIBU RUPIAH,2011
62,7400,SULAWESI TENGGARA,8248.76,RIBU RUPIAH,2011
63,7500,GORONTALO,8293.17,RIBU RUPIAH,2011
64,7600,SULAWESI BARAT,8048.59,RIBU RUPIAH,2011
65,8100,MALUKU,7437.41,RIBU RUPIAH,2011
66,8200,MALUKU UTARA,6935.34,RIBU RUPIAH,2011
67,9100,PAPUA BARAT,6708.93,RIBU RUPIAH,2011
68,9400,PAPUA,6303.4,RIBU RUPIAH,2011
